nd,gisid,mean_p,std_p,max_p,min_p
NODE_709220357973000,709220117388800,0.59113867114595,0.20815239130601218,1.068625,0.296375
NODE_709220357965200,709220117385800,0.59113867114595,0.20815239130601218,1.068625,0.296375
NODE_709220358037100,700000200088802,0.09035870052277818,0.059722659767933776,0.2268,0.023799999999999998
NODE_709220357855600,709220221429100,0.3714080929451288,0.20318835947375405,0.8281349999999998,0.139482
NODE_709220357966000,709220117384800,0.59113867114595,0.20815239130601218,1.068625,0.296375
NODE_709220387385300,700000520623602,0.025419004292646506,0.02857459509542547,0.0614375,0.0009
NODE_709440278310500,709440278309700,0.3404533233756535,0.3650855161157218,1.5812,0.0048
NODE_709440299231600,707443994120000,,,,
NODE_709220357924200,709220117402500,0.5911396416573349,0.20815240833847753,1.0686,0.2964
NODE_709220387362000,700000524463602,0.001337388868135973,0.0014860598815894862,0.00362,7.5e-05
NODE_709220358014600,709220117386800,0.59113867114595,0.20815239130601218,1.068625,0.296375
NODE_709220387376300,700000611554402,0.025419004292646506,0.02857459509542547,0.0614375,0.0009
NODE_709220357973800,709220117387800,0.59113867114595,0.20815239130601218,1.068625,0.296375
NODE_709220357966800,709220117383800,0.59113867114595,0.20815239130601218,1.068625,0.296375
NODE_709220357849900,709220341094100,0.37140772676371786,0.2031885521160069,0.8281999999999999,0.13949999999999999
NODE_709220357826300,700000112965502,0.3714080929451288,0.20318835947375405,0.8281349999999998,0.139482
NODE_709440146222300,709220333948800,0.10447590179238238,0.09715118129283293,0.540792,0.0010710000000000001
NODE_709440145071400,700000061481002,0.2234825570093458,0.04728351177319484,0.3614,0.11172
NODE_709440145071700,700000061480902,0.2234825570093458,0.04728351177319484,0.3614,0.11172
NODE_709220113723100,700000059262502,0.19632215005599105,0.04100298738645479,0.33168000000000003,0.09376000000000001
NODE_709440146222500,709220333949800,0.10447590179238238,0.09715118129283293,0.540792,0.0010710000000000001
NODE_709440145902800,709220125603100,0.12130395929798354,0.029660094525432452,0.22484700000000002,0.050274000000000006
NODE_709220369459700,709220369452700,0.27342632325494587,0.07630511716740442,0.5405599999999999,0.12096000000000001
NODE_709440146073200,700000275949802,0.11170747293766332,0.040522826827567304,0.22400000000000003,0.037520000000000005
NODE_709440145902600,709220125602100,0.14073068868980962,0.03171123121676584,0.247968,0.073962
NODE_709440145084400,700000059267802,0.21703381858902573,0.07610813112679277,0.45740000000000003,0.08070000000000001
